"","IS","IV","RA","L5","L5_starttime","M10","M10_starttime"
"1",0.42,0.75,0.84,381.91,"01:06:27",4448.93,"09:12:27"
"2",0.3,0.47,0.92,158.48,"01:12:19",3689.82,"08:11:19"
"3",0.32,0.47,0.95,100.37,"23:53:30",4236.24,"06:27:30"
"4",0.1,1.4,0.3,1827.74,"01:58:00",3421.05,"06:34:00"
"5",0.49,0.76,0.9,227.43,"04:02:23",4409.29,"13:30:23"
"6",0.51,0.91,0.92,143.97,"01:27:48",3306.32,"11:21:48"
"7",0.43,0.92,0.96,64.51,"01:22:51",3544.86,"08:41:51"
"8",NA,0.84,0.96,89.52,"17:40:38",4251.66,"06:42:38"
"9",0.32,0.95,0.34,2422.98,"00:07:21",4868.62,"12:54:21"
"10",0.6,1.03,0.87,206.4,"01:16:10",2855.47,"06:58:10"
"11",0.9,0.54,0.98,94.64,"23:13:03",8240.46,"06:01:03"
"12",0.37,1.12,0.87,301.71,"00:31:56",4521.83,"05:32:56"
"13",0.4,1.36,0.92,148.5,"00:31:23",3422.83,"10:30:23"
"14",0.45,0.58,0.89,146.94,"23:31:28",2487.73,"05:58:28"
"15",0.31,0.73,0.83,339.42,"23:42:46",3749.18,"05:50:46"
"16",0.47,0.83,0.85,210.04,"23:36:05",2562.18,"08:21:05"
"17",0.6,0.71,0.96,149.74,"00:59:10",6854.28,"06:57:10"
